ID;Datum;Frage 1 - Welches Geschlecht hast du?;Frage 2 - Wie alt bist du?;Frage 3 - Studierst du aktuell?;Frage 4 - Ich bin mit dem Bereich Verteidigung / Defense als mögliches Tätigkeitsfeld vertraut.;Frage 5 - Ranking - Was ist dir besonders wichtig bei einem Beruf? - Gehalt;Frage 5 - Ranking - Was ist dir besonders wichtig bei einem Beruf? - Gutes Arbeitsklima;Frage 5 - Ranking - Was ist dir besonders wichtig bei einem Beruf? - Übereinstimmung mit moralischen Werten;Frage 5 - Ranking - Was ist dir besonders wichtig bei einem Beruf? - Work-Life-Balance;Frage 5 - Ranking - Was ist dir besonders wichtig bei einem Beruf? - Gesellschaftlicher Beitrag;Frage 5 - Ranking - Was ist dir besonders wichtig bei einem Beruf? - Interesse & Spaß an der Tätigkeit;Frage 5 - Ranking - Was ist dir besonders wichtig bei einem Beruf? - Jobsicherheit;Frage 5 - Ranking - Was ist dir besonders wichtig bei einem Beruf? - Karriere & Aufstiegsmöglichkeiten;Frage 6 - Was studierst du?;Frage 7 - In welchem Semester bist du?;Frage 8 - In meinem Studiengang wird (Berufs)ethik thematisiert.;Frage 9 - Ich fühle mich durch mein Studium ausreichend auf ethische Fragen in meinem Berufsfeld vorbereitet.;Frage 10 - In welchem Bereich arbeitest du?;Frage 11 - (Berufs)ethik bietet für mich eine Orientierung für mein Handeln.;Frage 12 - Ich kann mir vorstellen, in einem Unternehmen oder Projekt mit Bezug zum Rüstungs-/Verteidigungsbereich zu arbeiten.;Frage 13 - Falls du es dir vorstellen kannst, im Defense Bereich zu arbeiten: Was sind die wichtigsten Gründe für dich? - Schutz demokratischer Werte und staatlicher Souveränität;Frage 13 - Falls du es dir vorstellen kannst, im Defense Bereich zu arbeiten: Was sind die wichtigsten Gründe für dich? - Geopolitische Verantwortung Deutschlands / Europas;Frage 13 - Falls du es dir vorstellen kannst, im Defense Bereich zu arbeiten: Was sind die wichtigsten Gründe für dich? - Berufliche Perspektiven (Karrierechancen);Frage 13 - Falls du es dir vorstellen kannst, im Defense Bereich zu arbeiten: Was sind die wichtigsten Gründe für dich? - Finanzielle Gründe;Frage 13 - Falls du es dir vorstellen kannst, im Defense Bereich zu arbeiten: Was sind die wichtigsten Gründe für dich? - Technische Innovation und interessante Projekte;Frage 13 - Falls du es dir vorstellen kannst, im Defense Bereich zu arbeiten: Was sind die wichtigsten Gründe für dich? - Keiner der Gründe;Frage 14 - Falls du es dir nicht vorstellen kannst, im Defense Bereich zu arbeiten: Was sind die wichtigsten Gründe für dich? - Moralische / ethische Bedenken;Frage 14 - Falls du es dir nicht vorstellen kannst, im Defense Bereich zu arbeiten: Was sind die wichtigsten Gründe für dich? - Politische Überzeugung;Frage 14 - Falls du es dir nicht vorstellen kannst, im Defense Bereich zu arbeiten: Was sind die wichtigsten Gründe für dich? - Unklare rechtliche Verantwortung;Frage 14 - Falls du es dir nicht vorstellen kannst, im Defense Bereich zu arbeiten: Was sind die wichtigsten Gründe für dich? - Soziales Umfeld / Stigmatisierung / Erwartungen anderer;Frage 14 - Falls du es dir nicht vorstellen kannst, im Defense Bereich zu arbeiten: Was sind die wichtigsten Gründe für dich? - Sicherheitsbedenken (Geheimhaltung, eingeschränkte Mobilität);Frage 14 - Falls du es dir nicht vorstellen kannst, im Defense Bereich zu arbeiten: Was sind die wichtigsten Gründe für dich? - Keiner der Gründe;Frage 15 - Ich kann mir vorstellen, an einem Forschungsprojekt mit militärischer Förderung teilzunehmen.;Frage 16 - Wer trägt deiner Meinung nach am meisten persönliche moralische Mitverantwortung für die Anwendung technischer Arbeit? - Der/Die Ingenieur*in selbst;Frage 16 - Wer trägt deiner Meinung nach am meisten persönliche moralische Mitverantwortung für die Anwendung technischer Arbeit? - Der Arbeitgeber;Frage 16 - Wer trägt deiner Meinung nach am meisten persönliche moralische Mitverantwortung für die Anwendung technischer Arbeit? - Der Gesetzgeber /Die Politik;Frage 16 - Wer trägt deiner Meinung nach am meisten persönliche moralische Mitverantwortung für die Anwendung technischer Arbeit? - Der Auftraggeber;Frage 16 - Wer trägt deiner Meinung nach am meisten persönliche moralische Mitverantwortung für die Anwendung technischer Arbeit? - Die Gesellschaft als Ganzes;Frage 17 - Szenario: Du erhältst zwei gleichwertige Stellenangebote: Angebot A von einer zivilen Firma. Angebot B von einem Rüstungskonzern mit 20 % höherem Gehalt. Vom Inhalt her sind die beiden Angebote gleich herausfordernd und interessant. Was würdest du tun?;Frage 18 - Ich hätte Bedenken, wenn Produkte oder Software, die ich in einem zivilen Unternehmen entwickelt habe, auch im militärischen Bereich verwendet werden (Dual-Use)?;Frage 19 - Ich hätte Gewissenskonflikte, wenn ich im Defense-Bereich arbeiten würde.;Frage 20 - Meine Einstellung zur Arbeit im Verteidigungsbereich hat sich in den letzten 2-3 Jahren verändert.;Frage 21 - Gibt es etwas, das du zum Thema Berufsethik und Defense ergänzen möchtest?;ist anonym;abgeschlossen;beendet;Beantwortungsdauer (in s);Antwort-Quote;Sprache;Startzeit;Endzeit;Laufzeit;Dauer für Seite 1 (in s);Dauer für Seite 2 (in s);Dauer für Seite 3 (in s);Dauer für Seite 4 (in s);Dauer für Seite 5 (in s)
28;03.06.26;Weiblich;23-27;Ja;1;6;5;2;4;7;8;1;3;Maschinenbau;9. Semester oder höher;Nein;1;Wirtschaftsingenieurwesen;5;2;;;;Finanzielle Gründe;;;Moralische / ethische Bedenken;;;;Sicherheitsbedenken (Geheimhaltung, eingeschränkte Mobilität);;5;1;2;5;3;4;Ich würde Angebot B wählen, da das Gehalt ein legitimer Grund ist;4;4;1;;1;1;1;437.39;95.24%;de;03.06.26;03.06.26; 00:07:18;87;34;30;130;157
29;03.06.26;Männlich;23-27;Ja;3;1;5;6;3;7;2;4;8;Elektrotechnik;7./8. Semester;Nein;3;Elektrotechnik;4;5;Schutz demokratischer Werte und staatlicher Souveränität;Geopolitische Verantwortung Deutschlands / Europas;;;Technische Innovation und interessante Projekte;;;;;;;Keiner der Gründe;5;4;2;3;1;5;Ich würde Angebot B wählen, da das Gehalt ein legitimer Grund ist;1;2;2;"Ich will nur nicht das Systeme gegen die eigene Bevölkerung eingesetzt werden. 
Da sehe ich die Gefahr bei z.B. Spionage Systemen, oder alles was irgendwie mit Big Data zu tun hat. 
Mit einem Panzer wird wohl kaum eine Demonstration beendet. Oder ein Haus geräumt.";1;1;1;676.52;100%;de;03.06.26;03.06.26; 00:11:17;104;35;25;67;446
30;03.06.26;Männlich;23-27;Ja;2;5;3;7;6;8;2;1;4;Elektrotechnik;7./8. Semester;Nein;1;Elektrotechnik;3;5;Schutz demokratischer Werte und staatlicher Souveränität;;Berufliche Perspektiven (Karrierechancen);;Technische Innovation und interessante Projekte;;;;;;;Keiner der Gründe;5;4;2;1;3;5;Ich würde Angebot B wählen, da das Gehalt ein legitimer Grund ist;1;1;2;;1;1;1;268.2;95.24%;de;03.06.26;03.06.26; 00:04:29;59;36;21;44;108
31;03.06.26;Weiblich;18-22;Ja;2;5;3;7;4;8;1;2;6;Elektrotechnik;7./8. Semester;Nein;1;Informatik / Software Engineering;4;1;;;;;;Keiner der Gründe;Moralische / ethische Bedenken;;;;Sicherheitsbedenken (Geheimhaltung, eingeschränkte Mobilität);;1;3;1;5;2;4;Ich würde Angebot A wählen;5;5;5;;1;1;1;179.55;95.24%;de;03.06.26;03.06.26; 00:03:00;51;27;18;36;47
32;03.06.26;Männlich;18-22;Ja;4;4;3;7;8;5;2;6;1;Elektrotechnik;7./8. Semester;Nein;2;Informatik / Software Engineering;3;5;Schutz demokratischer Werte und staatlicher Souveränität;Geopolitische Verantwortung Deutschlands / Europas;Berufliche Perspektiven (Karrierechancen);Finanzielle Gründe;Technische Innovation und interessante Projekte;;;;;;;Keiner der Gründe;5;5;4;2;3;1;Ich würde Angebot B wählen, da das Gehalt ein legitimer Grund ist;3;2;4;;1;1;1;190.17;95.24%;de;03.06.26;03.06.26; 00:03:11;46;18;18;37;71
34;03.06.26;Weiblich;18-22;Ja;3;4;5;7;6;8;1;2;3;Informatik;1./2. Semester;Weiß ich nicht;3;Anderes;3;2;;;Berufliche Perspektiven (Karrierechancen);;Technische Innovation und interessante Projekte;;Moralische / ethische Bedenken;;;;;;2;4;3;1;2;5;Ich würde intensiv abwägen und beide Angebote in Betracht ziehen;5;4;4;;1;1;1;346.74;95.24%;de;03.06.26;03.06.26; 00:05:47;87;33;21;100;106
35;03.06.26;Männlich;18-22;Ja;4;1;6;7;5;8;2;3;4;Elektrotechnik;7./8. Semester;Nein;4;Elektrotechnik;3;5;;;;Finanzielle Gründe;;;;;;;;Keiner der Gründe;5;5;3;1;2;4;Ich würde Angebot B wählen, da das Gehalt ein legitimer Grund ist;1;1;1;;1;1;1;139.3;95.24%;de;03.06.26;03.06.26; 00:02:20;42;17;11;20;49
36;03.06.26;Männlich;23-27;Ja;5;1;5;7;3;8;4;2;6;Elektrotechnik;7./8. Semester;Nein;3;Elektrotechnik;1;5;;Geopolitische Verantwortung Deutschlands / Europas;Berufliche Perspektiven (Karrierechancen);Finanzielle Gründe;Technische Innovation und interessante Projekte;;;;;;;Keiner der Gründe;5;5;4;2;3;1;Ich würde Angebot B wählen, da das Gehalt ein legitimer Grund ist;1;1;1;;1;1;1;323.4;95.24%;de;03.06.26;03.06.26; 00:05:24;127;24;36;50;86
37;03.06.26;Weiblich;23-27;Ja;1;5;7;4;3;6;1;2;8;Social Data Science & Communication;3./4. Semester;Ja, aber nur am Rande;3;Ich arbeite nicht;3;1;;;;;;Keiner der Gründe;Moralische / ethische Bedenken;Politische Überzeugung;Unklare rechtliche Verantwortung;;;;1;4;3;2;1;5;Ich würde Angebot A wählen;3;5;1;;1;1;1;1195.81;95.24%;de;03.06.26;03.06.26; 00:19:56;228;70;26;55;817
38;03.06.26;Männlich;18-22;Ja;2;4;2;3;8;6;1;7;5;Social Data Science & Communication;1./2. Semester;Ja;3;Anderes;4;3;;;;;Technische Innovation und interessante Projekte;;Moralische / ethische Bedenken;;;;;;3;3;2;4;1;5;Ich würde intensiv abwägen und beide Angebote in Betracht ziehen;4;3;4;;1;1;1;289.62;95.24%;de;03.06.26;03.06.26; 00:04:50;49;29;27;86;99
39;04.06.26;Männlich;18-22;Ja;3;1;3;6;5;8;2;4;7;Wirtschaftsinformatik ;5./6. Semester;Ja, aber nur am Rande;3;Anderes;4;4;Schutz demokratischer Werte und staatlicher Souveränität;Geopolitische Verantwortung Deutschlands / Europas;;;;;;;;;;Keiner der Gründe;5;1;3;4;2;5;Ich würde Angebot B wählen, da das Gehalt ein legitimer Grund ist;1;1;4;;1;1;1;404.84;95.24%;de;04.06.26;04.06.26; 00:06:45;160;31;37;59;117
40;04.06.26;Weiblich;23-27;Ja;3;2;3;7;6;8;4;1;5;Wirtschaftsinformatik ;5./6. Semester;Nein;1;Informatik / Software Engineering;2;3;;;;Finanzielle Gründe;;;Moralische / ethische Bedenken;;;;;;3;5;3;1;4;2;Ich würde intensiv abwägen und beide Angebote in Betracht ziehen;3;5;4;;1;1;1;180.08;95.24%;de;04.06.26;04.06.26; 00:03:01;58;16;17;29;61
41;04.06.26;Weiblich;18-22;Ja;3;7;2;3;4;5;1;6;8;Wirtschaftsinformatik ;5./6. Semester;Nein;2;Informatik / Software Engineering;4;4;Schutz demokratischer Werte und staatlicher Souveränität;Geopolitische Verantwortung Deutschlands / Europas;;;;;Moralische / ethische Bedenken;;;Soziales Umfeld / Stigmatisierung / Erwartungen anderer;;;4;5;4;2;3;1;Ich würde intensiv abwägen und beide Angebote in Betracht ziehen;3;3;2;Es ist sehr abhängig, ob die Technologien lediglich zur Verteidigung genutzt werden oder auch für aktiven Angriff missbraucht;1;1;1;635.82;100%;de;04.06.26;04.06.26; 00:10:36;154;26;23;129;304
42;04.06.26;Männlich;23-27;Ja;3;6;4;5;1;7;2;3;8;Informatik;5./6. Semester;Nein;3;Informatik / Software Engineering;3;2;Schutz demokratischer Werte und staatlicher Souveränität;;;;;;Moralische / ethische Bedenken;;;;;;2;5;4;1;2;3;Ich würde intensiv abwägen und beide Angebote in Betracht ziehen;4;4;2;;1;1;1;943.9;95.24%;de;04.06.26;04.06.26; 00:15:44;177;57;27;184;498
43;04.06.26;Männlich;18-22;Ja;4;6;3;2;1;8;4;5;7;Informatik;5./6. Semester;Nein;1;Informatik / Software Engineering;3;1;;;;;;Keiner der Gründe;Moralische / ethische Bedenken;Politische Überzeugung;;;;;1;4;2;3;1;5;Ich würde Angebot A wählen;5;5;1;;1;1;1;183.98;95.24%;de;04.06.26;04.06.26; 00:03:04;48;15;16;34;71
44;05.06.26;Männlich;23-27;Ja;3;2;1;7;5;8;3;4;6;Wirtschaftsinformatik ;3./4. Semester;Nein;1;Informatik / Software Engineering;4;5;Schutz demokratischer Werte und staatlicher Souveränität;Geopolitische Verantwortung Deutschlands / Europas;;;Technische Innovation und interessante Projekte;;;;;;;Keiner der Gründe;5;4;3;1;2;5;Ich würde Angebot B wählen, da das Gehalt ein legitimer Grund ist;1;1;1;;1;1;1;315.72;95.24%;de;05.06.26;05.06.26; 00:05:16;85;26;34;58;113
46;05.06.26;Männlich;23-27;Ja;2;4;6;7;2;8;3;1;5;Social Data Science & Communication;3./4. Semester;Ja;4;Anderes;4;1;;;;;;Keiner der Gründe;Moralische / ethische Bedenken;Politische Überzeugung;;;;;1;5;3;2;1;4;Ich würde Angebot A wählen;5;5;2;;1;1;1;1114.56;95.24%;de;05.06.26;05.06.26; 00:18:35;515;69;66;82;383
49;05.06.26;Männlich;18-22;Ja;5;5;4;6;2;7;1;8;3;Maschinenbau;1./2. Semester;Nein;4;Maschinenbau und Produktion;4;5;Schutz demokratischer Werte und staatlicher Souveränität;Geopolitische Verantwortung Deutschlands / Europas;;Finanzielle Gründe;Technische Innovation und interessante Projekte;;;;;;;Keiner der Gründe;5;1;4;5;3;2;Ich würde Angebot B aus anderen Gründen wählen;1;1;1;;1;1;1;137.89;95.24%;de;05.06.26;05.06.26; 00:02:18;40;20;12;27;39
50;05.06.26;Weiblich;18-22;Ja;2;6;5;1;7;2;3;4;8;Maschinenbau;1./2. Semester;Nein;3;Ich arbeite nicht;4;4;Schutz demokratischer Werte und staatlicher Souveränität;Geopolitische Verantwortung Deutschlands / Europas;;;Technische Innovation und interessante Projekte;;;;;Soziales Umfeld / Stigmatisierung / Erwartungen anderer;;;3;3;2;1;4;5;Ich würde Angebot A wählen, aber der Gehaltsunterschied lässt mich zögern;4;4;2;;1;1;1;830.1;95.24%;de;05.06.26;05.06.26; 00:13:51;149;63;31;167;420
51;05.06.26;Männlich;18-22;Ja;1;3;5;8;4;7;1;2;6;Maschinenbau;1./2. Semester;Nein;1;Maschinenbau und Produktion;2;3;Schutz demokratischer Werte und staatlicher Souveränität;;Berufliche Perspektiven (Karrierechancen);;;;;Politische Überzeugung;Unklare rechtliche Verantwortung;;;;1;5;4;1;2;3;Ich würde intensiv abwägen und beide Angebote in Betracht ziehen;3;3;1;;1;1;1;220.33;95.24%;de;05.06.26;05.06.26; 00:03:41;66;18;23;53;60
53;05.06.26;Männlich;18-22;Ja;2;2;5;6;4;8;1;7;3;Maschinenbau;1./2. Semester;Nein;2;Maschinenbau und Produktion;4;5;;;Berufliche Perspektiven (Karrierechancen);Finanzielle Gründe;Technische Innovation und interessante Projekte;;;;;;;Keiner der Gründe;4;5;4;2;3;1;Ich würde Angebot B wählen, da das Gehalt ein legitimer Grund ist;4;3;1;;1;1;1;237.11;95.24%;de;05.06.26;05.06.26; 00:03:58;71;36;11;39;80
57;06.06.26;Weiblich;18-22;Ja;4;5;3;2;8;1;6;4;7;Maschinenbau;1./2. Semester;Ja;4;Maschinenbau und Produktion;4;3;Schutz demokratischer Werte und staatlicher Souveränität;;Berufliche Perspektiven (Karrierechancen);Finanzielle Gründe;Technische Innovation und interessante Projekte;;Moralische / ethische Bedenken;;;;Sicherheitsbedenken (Geheimhaltung, eingeschränkte Mobilität);;5;3;5;2;4;1;Ich würde Angebot B wählen, da das Gehalt ein legitimer Grund ist;4;3;4;;1;1;1;258.37;95.24%;de;06.06.26;06.06.26; 00:04:19;74;22;28;42;93
58;06.06.26;Weiblich;23-27;Ja;2;2;6;8;3;7;5;1;4;Social Data Science & Communication;3./4. Semester;Ja, aber nur am Rande;2;Ich arbeite nicht;5;1;;;Berufliche Perspektiven (Karrierechancen);;;;Moralische / ethische Bedenken;;Unklare rechtliche Verantwortung;;;;1;4;2;1;3;5;Ich würde Angebot B wählen, da das Gehalt ein legitimer Grund ist;2;3;4;;1;1;1;345.6;95.24%;de;06.06.26;06.06.26; 00:05:46;92;37;35;58;122
60;06.06.26;Weiblich;28-34;Ja;2;1;4;2;3;7;6;8;5;Social Data Science & Communication;3./4. Semester;Nein;1;Ich arbeite nicht;1;1;;;;;;Keiner der Gründe;Moralische / ethische Bedenken;;;;;;1;4;3;1;2;5;Ich würde Angebot B wählen, da das Gehalt ein legitimer Grund ist;5;4;2;;1;1;1;1680.61;95.24%;de;06.06.26;06.06.26; 00:28:01;826;218;24;332;279
63;08.06.26;Männlich;23-27;Ja;3;2;6;7;4;8;1;3;5;Maschinenbau;5./6. Semester;Nein;1;Maschinenbau und Produktion;2;5;Schutz demokratischer Werte und staatlicher Souveränität;Geopolitische Verantwortung Deutschlands / Europas;Berufliche Perspektiven (Karrierechancen);Finanzielle Gründe;Technische Innovation und interessante Projekte;;Moralische / ethische Bedenken;;;;;;5;5;3;1;2;4;Ich würde intensiv abwägen und beide Angebote in Betracht ziehen;4;4;4;;1;1;1;266.48;95.24%;de;08.06.26;08.06.26; 00:04:27;84;23;20;44;96
64;08.06.26;Männlich;23-27;Ja;5;3;1;7;6;8;2;5;4;Maschinenbau;3./4. Semester;Nein;1;Ich arbeite nicht;3;4;;;Berufliche Perspektiven (Karrierechancen);Finanzielle Gründe;Technische Innovation und interessante Projekte;;;;;;;Keiner der Gründe;5;5;4;1;2;3;Ich würde Angebot B wählen, da das Gehalt ein legitimer Grund ist;2;2;4;;1;1;1;261.73;95.24%;de;08.06.26;08.06.26; 00:04:22;75;36;21;40;90
65;08.06.26;Männlich;18-22;Ja;4;1;5;6;7;8;3;4;2;Maschinenbau;3./4. Semester;Nein;1;Ich arbeite nicht;1;4;;;;Finanzielle Gründe;Technische Innovation und interessante Projekte;;;;;;;Keiner der Gründe;5;5;3;2;4;1;Ich würde Angebot B wählen, da das Gehalt ein legitimer Grund ist;1;2;1;Angebot und Nachfrage;1;1;1;638.47;100%;de;08.06.26;08.06.26; 00:10:39;122;39;85;102;290
66;08.06.26;Männlich;23-27;Ja;3;2;4;6;8;5;1;7;3;Maschinenbau;3./4. Semester;Ja, aber nur am Rande;1;Maschinenbau und Produktion;2;5;;;Berufliche Perspektiven (Karrierechancen);Finanzielle Gründe;Technische Innovation und interessante Projekte;;;;;;;Keiner der Gründe;5;5;4;1;3;2;Ich würde Angebot B wählen, da das Gehalt ein legitimer Grund ist;1;1;1;Wenn ich es nicht mache dann macht es jemand anderes.;1;1;1;324.75;100%;de;08.06.26;08.06.26; 00:05:25;46;20;23;72;165
67;08.06.26;Männlich;23-27;Ja;4;2;6;8;3;7;1;5;4;Maschinenbau;3./4. Semester;Nein;1;Maschinenbau und Produktion;3;5;Schutz demokratischer Werte und staatlicher Souveränität;Geopolitische Verantwortung Deutschlands / Europas;Berufliche Perspektiven (Karrierechancen);Finanzielle Gründe;Technische Innovation und interessante Projekte;;;;;;;Keiner der Gründe;5;5;1;4;2;3;Ich würde Angebot B wählen, da das Gehalt ein legitimer Grund ist;4;2;1;;1;1;1;185.85;95.24%;de;08.06.26;08.06.26; 00:03:06;68;16;9;34;59
68;08.06.26;Männlich;23-27;Ja;5;4;5;6;7;8;3;1;2;Maschinenbau;3./4. Semester;Nein;2;Maschinenbau und Produktion;2;5;Schutz demokratischer Werte und staatlicher Souveränität;;;;Technische Innovation und interessante Projekte;;;Politische Überzeugung;;;;;5;4;3;2;1;5;Ich würde Angebot B wählen, da das Gehalt ein legitimer Grund ist;1;1;1;"Berufsethik ist ein hoch komplexes aber auch persönliches Thema. Es ist schwierig gewisse Aspekte zu gewichten wie beispielweise in den Listen in denen man von oben nach unten sortieren soll. Einige Punkte sind (für mich) gleich wichtig/ unbedeutend. 
Militärische Projekte gehen Hand in Hand mit zivilen Einher: Eine Innovation die im zivilen Raume erfolgreich ist, sollte auch im militärischen Sinn erfolgreich sein (vor allem wenn es primär darum geht Leben zu schützen). Andersherum aber genauso, auch wenn das mit Blick auf Geheimhaltung schwieriger ist.";1;1;1;723.41;100%;de;08.06.26;08.06.26; 00:12:04;74;50;22;55;522
69;08.06.26;Männlich;18-22;Ja;1;3;7;5;1;6;2;4;8;Maschinenbau;5./6. Semester;Nein;1;Maschinenbau und Produktion;2;2;Schutz demokratischer Werte und staatlicher Souveränität;;;;;;Moralische / ethische Bedenken;;;;;;4;3;4;1;2;5;Ich würde intensiv abwägen und beide Angebote in Betracht ziehen;1;4;2;;1;1;1;323.09;95.24%;de;08.06.26;08.06.26; 00:05:24;79;21;38;61;123
70;08.06.26;Männlich;18-22;Ja;5;3;5;4;8;7;1;6;2;Maschinenbau;3./4. Semester;Ja, aber nur am Rande;5;Maschinenbau und Produktion;3;5;Schutz demokratischer Werte und staatlicher Souveränität;Geopolitische Verantwortung Deutschlands / Europas;Berufliche Perspektiven (Karrierechancen);;Technische Innovation und interessante Projekte;;;;;;;Keiner der Gründe;5;4;2;1;3;5;Ich würde Angebot B aus anderen Gründen wählen;1;1;4;;1;1;1;569.1;95.24%;de;08.06.26;08.06.26; 00:09:30;219;27;23;116;185
71;08.06.26;Männlich;23-27;Ja;5;1;4;8;7;6;5;2;3;Maschinenbau;3./4. Semester;Nein;1;Maschinenbau und Produktion;1;5;;;Berufliche Perspektiven (Karrierechancen);Finanzielle Gründe;Technische Innovation und interessante Projekte;;;;;;;Keiner der Gründe;5;4;3;1;2;5;Ich würde Angebot B wählen, da das Gehalt ein legitimer Grund ist;1;1;1;;1;1;1;214.8;95.24%;de;08.06.26;08.06.26; 00:03:35;78;18;15;35;69
72;08.06.26;Männlich;18-22;Ja;5;3;8;7;6;5;1;4;2;Maschinenbau;5./6. Semester;Nein;1;Wirtschaftsingenieurwesen;1;5;Schutz demokratischer Werte und staatlicher Souveränität;;Berufliche Perspektiven (Karrierechancen);Finanzielle Gründe;Technische Innovation und interessante Projekte;;;;;;;Keiner der Gründe;5;4;3;1;2;5;Ich würde Angebot B aus anderen Gründen wählen;1;1;1;;1;1;1;175.82;95.24%;de;08.06.26;08.06.26; 00:02:56;74;17;9;38;37
73;08.06.26;Weiblich;18-22;Ja;1;7;3;6;4;5;1;2;8;Maschinenbau;3./4. Semester;Weiß ich nicht;4;Maschinenbau und Produktion;1;1;;;;;;Keiner der Gründe;Moralische / ethische Bedenken;;;;;;3;4;3;2;1;5;Ich würde Angebot A wählen, aber der Gehaltsunterschied lässt mich zögern;4;4;1;Schwierig, jetzt schon zu beurteilen, ohne richtig Teil des Arbeitsmarktes zu sein;1;1;1;351.28;100%;de;08.06.26;08.06.26; 00:05:52;98;29;17;65;143
75;08.06.26;Männlich;18-22;Ja;1;8;2;5;3;6;4;7;1;Maschinenbau;3./4. Semester;Weiß ich nicht;5;Maschinenbau und Produktion;1;5;;;;Finanzielle Gründe;;;;;;;;Keiner der Gründe;5;5;2;4;3;1;Ich würde Angebot B wählen, da das Gehalt ein legitimer Grund ist;3;1;1;;1;1;1;148.96;95.24%;de;08.06.26;08.06.26; 00:02:29;37;34;9;25;43
76;08.06.26;Männlich;18-22;Ja;5;5;2;8;3;7;1;4;6;Maschinenbau;3./4. Semester;Nein;5;Ich arbeite nicht;1;5;Schutz demokratischer Werte und staatlicher Souveränität;Geopolitische Verantwortung Deutschlands / Europas;;;Technische Innovation und interessante Projekte;;;;;;;Keiner der Gründe;5;4;3;2;1;5;Ich würde Angebot B wählen, da das Gehalt ein legitimer Grund ist;5;5;1;;1;1;1;457.23;95.24%;de;08.06.26;08.06.26; 00:07:38;137;48;26;91;155
77;08.06.26;Männlich;18-22;Ja;2;2;4;7;1;8;3;6;5;Maschinenbau;3./4. Semester;Nein;2;Maschinenbau und Produktion;3;4;Schutz demokratischer Werte und staatlicher Souveränität;Geopolitische Verantwortung Deutschlands / Europas;Berufliche Perspektiven (Karrierechancen);Finanzielle Gründe;Technische Innovation und interessante Projekte;;;;;;;Keiner der Gründe;4;5;3;1;4;2;Ich würde intensiv abwägen und beide Angebote in Betracht ziehen;2;2;4;;1;1;1;401.57;95.24%;de;08.06.26;08.06.26; 00:06:42;118;29;32;68;154
78;08.06.26;Männlich;23-27;Ja;1;1;5;8;3;7;2;6;4;Maschinenbau;3./4. Semester;Nein;1;Ich arbeite nicht;4;1;;;;;;Keiner der Gründe;Moralische / ethische Bedenken;;;;;;1;1;2;5;3;4;Ich würde Angebot A wählen, aber der Gehaltsunterschied lässt mich zögern;5;5;5;;1;1;1;206.31;95.24%;de;08.06.26;08.06.26; 00:03:27;53;20;15;27;92
79;08.06.26;Männlich;23-27;Ja;1;3;2;7;6;8;1;5;4;Maschinenbau;3./4. Semester;Weiß ich nicht;2;Maschinenbau und Produktion;4;4;Schutz demokratischer Werte und staatlicher Souveränität;;;Finanzielle Gründe;;;;;;;;Keiner der Gründe;4;5;4;1;3;2;Ich würde Angebot B wählen, da das Gehalt ein legitimer Grund ist;1;2;2;;1;1;1;217.17;95.24%;de;08.06.26;08.06.26; 00:03:38;43;21;30;35;88
80;09.06.26;Männlich;18-22;Ja;3;2;5;6;7;8;1;4;3;Maschinenbau;3./4. Semester;Nein;1;Maschinenbau und Produktion;3;4;;;Berufliche Perspektiven (Karrierechancen);Finanzielle Gründe;Technische Innovation und interessante Projekte;;Moralische / ethische Bedenken;;;;;;4;5;4;2;3;1;Ich würde Angebot B wählen, da das Gehalt ein legitimer Grund ist;1;2;3;;1;1;1;407.27;95.24%;de;09.06.26;09.06.26; 00:06:48;98;25;42;97;145
81;09.06.26;Weiblich;18-22;Ja;4;5;2;7;8;6;1;4;3;Maschinenbau;3./4. Semester;Nein;1;Anderes;5;2;;;;Finanzielle Gründe;;;Moralische / ethische Bedenken;Politische Überzeugung;;;;;2;4;3;1;2;5;Ich würde Angebot A wählen, aber der Gehaltsunterschied lässt mich zögern;3;5;4;;1;1;1;206.25;95.24%;de;09.06.26;09.06.26; 00:03:27;93;16;24;26;48
83;09.06.26;Männlich;23-27;Ja;3;5;2;3;7;8;1;4;6;Maschinenbau;3./4. Semester;Nein;3;Maschinenbau und Produktion;2;4;;;;;Technische Innovation und interessante Projekte;;;;;;;Keiner der Gründe;4;2;1;5;4;3;Ich würde intensiv abwägen und beide Angebote in Betracht ziehen;3;2;1;;1;1;1;192.92;95.24%;de;09.06.26;09.06.26; 00:03:13;50;19;13;27;84
84;09.06.26;Weiblich;18-22;Ja;4;6;7;3;5;8;4;1;2;Maschinenbau;3./4. Semester;Nein;1;Ich arbeite nicht;4;4;;;Berufliche Perspektiven (Karrierechancen);Finanzielle Gründe;;;;;;;;Keiner der Gründe;4;5;3;2;4;1;Ich würde Angebot B wählen, da das Gehalt ein legitimer Grund ist;2;2;1;;1;1;1;208.58;95.24%;de;09.06.26;09.06.26; 00:03:29;49;21;37;30;71
85;09.06.26;Männlich;23-27;Ja;3;1;6;8;4;7;2;3;5;Maschinenbau;3./4. Semester;Nein;2;Maschinenbau und Produktion;3;5;;;;Finanzielle Gründe;;;;;;;;Keiner der Gründe;5;5;4;1;3;2;Ich würde Angebot B wählen, da das Gehalt ein legitimer Grund ist;1;1;3;;1;1;1;247.43;95.24%;de;09.06.26;09.06.26; 00:04:08;38;20;13;75;101
